categoria,tempo_preparo,rendimento,ingredientes
massas,60MIN,8 porções,1 copo de leite 1 ovo 1 copo de farinha de trigo 1 colher sopa de oleo 1 pitada de sal
doces-e-sobremesas,40MIN,0 porções,1 pacote de bolacha maisena 1 lata de leite condensado 1 lata de creme de leite 1 lata de leite comum 2 gemas 1 colher sopa de farinha de trigo 2 xicaras cha de morango 1 colher cha de baunilha 100 g de chocolate meio amargo 1 xicara cha de chantilly morango e chantilly para decorar
bolos-e-tortas-doces,40MIN,0 porções,1 pacote de bolacha maisena 1 lata de leite condensado 1 lata de creme de leite 1 lata de leite comum 2 gemas 1 colher sopa de farinha de trigo 2 xicaras cha de morango 1 colher cha de baunilha 100 g de chocolate meio amargo 1 xicara cha de chantilly morango e chantilly para decorar
carnes,15MIN,8 porções,1/2 kg de carne moida 1 pacote de sopa de cebola presunto fatiado queijo fatiado tempero verde sal a gosto
aves,60MIN,8 porções,1 lata de creme de leite 1 lata de milho verde 1 copo de requeijao cremoso 100 g de azeitonas sem carocos 2 peitos de frango cozidos e desfiados 200 g de mussarela fatiada 100 g de batata palha 1 xicara de agua 1 pitada de sal
peixes-e-frutos-do-mar,150MIN,6 porções,1 kg de bacalhau 1/2 kg de batata 1/2 kg de cenoura 2 cebolas grandes 2 tomates vermelhos 1 pimentao 1 colher de sopa de extrato de tomate leite de coco alho sal coentro e azeite de oliva a gosto azeitonas 2 copos de leite 1 1/2 colher de sopa de farinha de trigo 1 colher de sopa de manteiga 1 ovo 1/2 xicara de creme de leite noz-moscada pimenta-do-reino e sal
massas,40MIN,6 porções,500 g de penne cozido al dente 2 colheres sopa de azeite 2 dentes de alho picados 1 lata de molho de tomate 200 g de requeijao de sua preferencia 1 lata de creme de leite 300 g de presunto picado 300 g de mussarela picada queijo parmesao ralado sal e pimenta a gosto
doces-e-sobremesas,25MIN,30 porções,1 caixa de leite condensado 1 colher sopa de margarina sem sal 7 colheres sopa de achocolatado ou 4 colheres sopa de chocolate em po chocolate granulado
bolos-e-tortas-doces,60MIN,12 porções,massa 3 ovos 3 colheres sopa de margarina 1 e 1/2 xicara de acucar 1 pitada de sal 1 xicara de leite 2 xicaras de farinha de trigo 1 colher sopa rasa de fermento cobertura 1 xicara de acucar 4 a 5 bananas
carnes,45MIN,6 porções,1 kg de carne de acem cortada em cubos grandes 2 colheres sopa de oleo de milho 2 colheres sopa de cebola granulada 2 cubos de caldo natural colorau a gosto cheiro-verde desidratado a gosto agua ate cobrir a carne 5 batatas medias descascadas e cortadas ao meio
aves,60MIN,6 porções,1 1/2 peitos de frango temperados cozidos e desfiados 1 lata de creme de leite 1 copo de requeijao 1 lata de milho a mesma medida lata de leite 2 colheres sopa de amido de milho 200 g de mussarela 50 g de queijo parmesao ralado batata palha
peixes-e-frutos-do-mar,30MIN,4 porções,1 kg de camarao medio limpo 3 colheres de sopa de manteiga 1/2 cebola media picada 2 tomates sem pele e sem semente picados 3 colheres de sopa de molho de tomate 250 g de requeijao suco de 1/2 limao folhas de alfavaca sal a gosto pimenta branca a gosto ervas finas a gosto
massas,100MIN,0 porções,1/2 kg de farinha de trigo 1 ovo 1 tablete de fermento de pao 1 colher sopa de margarina 1 colher sopa de oleo 1 colher sobremesa de acucar 1 colher cha sal 1 copo americano de agua morna 1 ovo p/ pincelar parmesao ralado para polvilhar
doces-e-sobremesas,10MIN,4 porções,1 lata de leite condensado 2 caixas de creme de leite 200 g de iogurte natural 1 pacote de suco em po sabor morango
bolos-e-tortas-doces,90MIN,10 porções,1 lata de milho verde 1 lata de oleo medida da lata de milho 1 lata de acucar medida da lata de milho 1 lata de fuba medida da lata de milho 4 ovos 2 colheres sopa de farinha de trigo 2 colheres sopa de coco ralado 1 e 1/2 colher cha de fermento em po
carnes,60MIN,6 porções,1 kg de mandioca cozida 1 lata de creme de leite com soro 2 colheres de margarina 1/2 kg de carne-seca dessalgada e cozida 1 cebola media picadinha 4 dentes de alho esmagados 2 tomates sem casca e picados sal e pimenta a gosto queijo ralado a gosto
aves,30MIN,12 porções,12 pedacos de frango cortados na junta passarinho 5 dentes de alho amassados com sal a gosto 1 cebola bem picada 4 colheres sopa de cheiro-verde bem picado 5 colheres sopa de suco de limao 1 colher cafe de tempero baiano 1 xicara de farinha de trigo 1 colher sopa de oregano 1 colher cha de fermento em po
peixes-e-frutos-do-mar,40MIN,4 porções,500 g de file de peixe tilapia saint peter ou outro 4 batatas grande descascada em rodelas de 05 centimetro de espessura 2 tomates picadinhos 1/2 pimentaose ele for grande 1 cebola media picada em cubos 1 colher sopa cheia de alcaparras cheiro-verde a gosto coentro a gosto opcional 1/2 colher sopa de sal 1 dente de alho pequeno bem espremido azeite a gosto
massas,40MIN,10 porções,3 colheres de margarina 4 colheres de farinha de trigo 2 xicaras de leite 2 xicaras de creme de leite sal e noz-moscada a gosto 1 colher de oleo 2 dentes de alho amassados 1 cebola picada 300 g de carne moida 3 xicaras de polpa de tomate batida no liquidificador 3/4 xicara de agua quente sal a gosto 200 g de presunto fatiada 200 g de mussarela fatiada 250 g de massa para lasanha
doces-e-sobremesas,35MIN,10 porções,250 g de chocolate ao leite 250 g de chocolate meio amargo 2 latas de leite condensado 2 latas de creme de leite 2 colheres de margarina 2 caixas de morango
bolos-e-tortas-doces,60MIN,10 porções,3 ovos suco de 2 laranjas 1 xicara cha de oleo 2 xicaras cha de acucar 3 xicaras cha de farinha de trigo 1 colher sopa de fermento em po suco de 1 laranja 3 colheres sopa de acucar
carnes,70MIN,5 porções,2 kg costelinhas de porco aferventadas em agua quente molho 1 colher sopa oleo 2 colheres sopa cebola picada 1/2 xicara cha acucar mascavo 1/2 xicara cha vinagre branco 2 colheres sopa molho ingles 2 xicaras cha catchup 1 folha de louro 1 colher sopa chilli em po 1/2 xicara cha agua sal e pimenta do reino a gosto
aves,60MIN,8 porções,1 kg de file de frango cortado em bifes 4 dentes de alho amassados 1 cubo de caldo de galinha esfarelado raspas de 1 limao mais o suco deste sal e pimenta a gosto maisena ovos farinha de rosca
peixes-e-frutos-do-mar,50MIN,2 porções,500 g de file de salmao azeitonas fatiadas sem caroco oregano 3 colheres de sopa de molho de soja shoyu sal a gosto azeite a gosto limao papel aluminio 1/2 cebola fatiada
massas,30MIN,15 porções,2 xicaras cha de farinha de trigo 2 xicaras cha de leite 3 ovos 1 pitada de sal
doces-e-sobremesas,10MIN,8 porções,1 lata de leite condensado 1 lata de creme de leite 1/2 copo americano de suco puro de limao bis de limao
bolos-e-tortas-doces,55MIN,20 porções,3 ovos 1 xicara de oleo 1 xicara de leite 2 xicaras de trigo 1 xicara de acucar 1 xicara de nescau 1 colher de sopa de fermento 3 colheres de manteiga sem sal 1 lata de leite condensado 5 colheres de nescau 1 lata de creme de leite 1 copo de leite 2 colheres de chocolate essencia de rum opcional granulado ou raspas de chocolate
carnes,40MIN,4 porções,300 g de espaguete 1 cebola grande cortada em pedacos medios 1 colher sopa de oleo 1/2 maco pequeno de brocolis 1/2 maco pequeno de couve-flor 10 colheres sopa de molho shoyu 400 g de carne cortada em tiras 100 g de champignon 1 cenoura cortada em rodelas 250 ml de agua 1 colher sopa de amido de milho dissolvido em 50 ml de agua acelga a gosto
aves,60MIN,10 porções,3 peitos de frango cortados em cubos 1 dente de alho picado sal e pimenta a gosto 1 cebola picada 2 colheres sopa de maionese 1 colher de manteiga 1/2 copo de ketchup 1/3 copo de mostarda 1 copo de cogumelos 1 copo de creme de leite batata palha a gosto
peixes-e-frutos-do-mar,40MIN,5 porções,1 colher sopa de manteiga 1 cebola media ralada 1/2kg de camarao medio limpo sal e pimenta do reino 4 colheres sopa de conhaque 100g de cogumelos em conserva picados 3 colheres sopa de catchup 1 colher sopa de mostarda 1 caixinha de creme de leite
massas,45MIN,12 porções,3 ovos inteiros 1/2 copo americano de oleo 1 copo tipo requeijao de acucar 2 copos tipo requeijao de fuba 1 copo tipo requeijao de leite 1 colher sopa de fermento em po 1 pitada de sal queijo ou coco ralado a gosto
doces-e-sobremesas,25MIN,6 porções,1 panetone de frutas ou chocolate 500g 1 lata de leite condensado 1 lata de creme de leite com soro 1 xicara 200ml de suco de maracuja puro in natura 1 tablete de chocolate meio amargo 180g 1 lata de creme de leite com soro
bolos-e-tortas-doces,40MIN,12 porções,massa 4 ovos 2 xicaras cha de acucar 3 xicaras cha de farinha de trigo 1 copo americano de suco de laranja 1 colher sopa de fermento em po cobertura 1 garrafa pequena de leite de coco 1 garrafa de leite utilize a mesma garrafa do leite de coco como medida 1 lata de leite condensado 1 pacote de coco ralado sem acucar
carnes,20MIN,4 porções,almondega 500g de carne moida coxao mole 2 ovos 3 colheres sopa de farinha de rosca 1/2 cebola picada sal e pimenta a gosto molho 1/2 cebola picada 1/2 alho picado 3 colheres sopa oleo 1 lata de molho de tomate 1/2 lata de agua 1 cubo de caldo de galinha 1 pitada de acucar sal pimenta salsinha a gosto
aves,30MIN,4 porções,1 kg de peito de frango cortado em tirinhas 2 cubinhos de caldo de galinha 1 cebola picadinha 1 colher sopa de amido de milho dissolvido no leite 1/2 xicara de leite 1/2 colher sopa de mostarda amarela 2 colheres sopa de ketchup 1 lata de creme de leite sem soro ou light 1 colher sopa de oleo 100 g de champignon
peixes-e-frutos-do-mar,60MIN,4 porções,2 postas de salmao sal a gosto 3 dentes de alho picados e amassados pimenta do reino a gosto suco de 1 limao 1 colher de manteiga 1 vidro pequeno de cogumelos em fatias 1 xicara de creme de leite sal e pimenta do reino branca a gosto
massas,40MIN,8 porções,1 e 1/4 xicara cha de farinha de trigo 1 colher sopa de acucar 3 colheres cha de fermento em po 2 ovos levemente batidos 1 xicara cha de leite 2 colheres sopa de manteiga derretida pitada de sal oleo
doces-e-sobremesas,60MIN,16 porções,1 lata de leite condensado 2 latas de leite integral use a mesma lata como medida 3 gemas 2 colheres sopa de manteiga 1 colher sopa de amido de milho dissolvido em 1/2 xicara de leite 2 colheres sopa de essencia de baunilha 1 lata de creme de leite 400 g de chocolate meio-amargo ou blend 400 g de creme de leite 400 g de bolacha maizena 1 xicara de leite 2 colheres sopa de chocolate em po ou achocolatado 100 g de chocolate branco para decorar
bolos-e-tortas-doces,140MIN,10 porções,2 xicaras de acucar 1 xicara de oleo - de preferencia para milho ou canola 4 ovos inteiros 2 xicaras de farinha de trigo 3 macas sem casca picadas 1 colher de sopa de fermento para bolo 1 colher de cafe de canela em po 1 punhado a gosto opcional de uvas passas acucar e canela para untar
carnes,35MIN,4 porções,400g de carne file mignon cha de dentro ou alcatra pimenta cominho sal 1/2 cebola ralada 1 caixa e meia de creme de leite 3 colheres sopa de catchup 3 colheres sopa de extrato de tomate 1 colher sopa de mostarda oleo para fritar
aves,60MIN,6 porções,1 quilo de quiabo 1 frango inteiro cortado em pedacos 5 dentes de alho amassados 1 cebola grande bem pitadinha 1 xicara cha de oleo 1 colher sobremesa de colorau pimenta a gosto sal a gosto cheiro verde a gosto
peixes-e-frutos-do-mar,30MIN,6 porções,8 files de merluza 4 batatas cruas em rodelas sem casca 1 pimentao cortado em rodelas 2 tomates cortados em rodelas - as sementes ficam a preferencia 1 cebola cortada em rodelas molho de tomate de boa qualidade oregano azeite para untar
massas,180MIN,6 porções,3 ovos 1 cebola media 1 1/2 copo do de requeijao cremoso de leite morno 1/2 copo do de requeijao cremoso de oleo 2 tabletes de caldo de galinha 1 colher sopa rasa de acucar 1 sache de fermento biologico seco/em po ou 2 tabletes frescos 1kg de farinha de trigo 500g de linquica calabresa 3 tomates italiano picados 15 azeitonas picadas 1 gema para pincelar pimenta oregano salsa cebolinha sementes de gergelim e papoula opcional
doces-e-sobremesas,15MIN,20 porções,1 lata de leite condensado 1 lata de creme de leite 3 colheres sopa de chocolate em po 1 colher sopa de margarina
bolos-e-tortas-doces,30MIN,10 porções,1 pacote de bolacha maizena ou bolacha champagne 1 lata de leite condensado 1 caixinha de creme de leite 1 lata de leite comum 2 gemas peneiradas 1 colher sopa de farinha de trigo ou maisena 2 xicaras cha de morango 1 colher cha de baunilha morango e chantilly para decorar
carnes,140MIN,8 porções,1 peca de cupim de mais ou menos 2 kg 1 colher sopa de oleo 3 colheres sopa de cebola picadinha 2 colheres sopa de alho picado pimenta do reino a gosto sal a gosto recomendo 1 colher de sobremesa 3 cubos de caldo de carne 3 colheres sopa de molho ingles
aves,30MIN,5 porções,1/2 kg de peito de frango em tiras 1 lata de creme de leite molho shoyu a gosto 1 colher de catchup mostarda a gosto 1/2 cebola ralada 1 colher de manteiga oregano a gosto sal a gosto
peixes-e-frutos-do-mar,120MIN,20 porções,1 kg de bacalhau 2 kg de palmito natural previamente ralado e cozido 12 ovos 350 ml de azeite de oliva 200 g de azeitona tomate alho bem picado colorau e cebolas em rodelas tempero verde a gosto sal a gosto
massas,5MIN,5 porções,1 xicara cha de farinha de trigo 1 e 1/4 xicara cha de leite 1 ovo 10 gotas de essencia de baunilha 1 pitada de sal
doces-e-sobremesas,80MIN,8 porções,2 latas de leite condensado 2 latas de leite de vaca 5 ovos 8 colheres de sopa de acucar 1 lata de creme de leite 1 xicara de cha de acucar 1/2 de agua fervendo 4 colheres de sopa de chocolate em po 6 colheres de sopa de agua
bolos-e-tortas-doces,25MIN,6 porções,1 panetone de frutas ou chocolate 500g 1 lata de leite condensado 1 lata de creme de leite com soro 1 xicara 200ml de suco de maracuja puro in natura 1 tablete de chocolate meio amargo 180g 1 lata de creme de leite com soro
carnes,30MIN,8 porções,1 kg de mandioquinha 2 litros de agua 1 cebola media picada 4 dentes de alho amassados 2 tomates maduros picados 1 xicara de salsinha e cebolinha picados 2 cubos de caldo de carne ou costela sal e pimenta-do-reino a gosto 1 gomo de linguica calabresa picada 4 colheres de azeite
aves,30MIN,9 porções,1 peito de frango cozido e desfiado 1 copo de requeijao 1 xicara de azeitonas pretas picada 150 g de queijo mussarela cortado em tiras 150 g de presunto cortado em tiras 1 lata de seleta de legumes ou milho verde 1 bisnaga de catupiry 3 ovos 2 xicaras de cha de farinha de trigo 2 xicaras de cha de leite 1 xicara de cha de oleo 3 colheres de cha de sal 2 colheres de sopa de maisena 1 colher de sopa de fermento em po
peixes-e-frutos-do-mar,60MIN,20 porções,1 moranga grande 1 kg de camarao medio 1 pote de catupiry 1 vidro de palmito 1 garrafinha de leite de coco sal pimenta 1 cebola ralada 2 dentes de alho 2 tomates picados sem semente 1 colher de sobremesa de farinha de trigo
massas,15MIN,8 porções,1 ovo 1 xicara de farinha de trigo 1 xicara de leite 1 pitada de sal 1 colher sopa de oleo
doces-e-sobremesas,144MIN,20 porções,5 colheres de chocolate em po 7 colheres de agua 1 forma de bolo com furo no meio ou como desejar 1 panela pequena 4 gemas 1 lata de leite condensado 1 lata de leite comum 1 liquidificador 1 panela grande 1 bandeja com agua 4 claras 1 lata de creme de leite 5 colheres de acucar 1 batedeira
bolos-e-tortas-doces,40MIN,12 porções,massa 3 ovos 1 e 1/2 xicara cha de acucar 2 xicaras cha de farinha de trigo 1 xicara cha de chocolate em po ou achocolatado 1/2 xicara cha de oleo 1 colher sopa de fermento em po 1 pitada de sal 1 xicara cha de agua quente cobertura 4 colheres sopa de leite 1/2 xicara cha de chocolate em po 1 colher sopa de manteiga 1 xicara cha de acucar
carnes,60MIN,5 porções,10 bifes file mignon 1 xicara de farinha de trigo 2 ovos 1 pitada de sal farinha de rosca 1 lata de extrato de tomate 1 pitadinha de acucar 10 fatias de mussarela
aves,50MIN,8 porções,6 files de peito de frango 2 dentes de alho sal e pimenta-do-reino a gosto 4 colheres de sopa de maionese 2 xicaras de cha de farinha de rosca 1 lata de molho de tomate 200 g de mussarela oleo o suficiente para untar oregano a gosto
peixes-e-frutos-do-mar,50MIN,4 porções,1 kg de camarao 1 cebola picada 1 cabecas alhos espremidos pimenta do reino 3 colheres de sopa de manteiga suco de 1 limao sal a gosto 1 caixa de catupiry 1 copo de requeijao 2 tomates picados sem semente ketchup ou molho de tomate palmito em rodelas batata palha
massas,10MIN,21 porções,1 pacote de macarrao penne parafuso ou gravatinha 1 caixinha de extrato/polpa/molho de tomate 2 caixinha a mesma medida da caixinha do molho de agua 1 lata de creme de leite 1 cebola media picada 3 gomos de calabresa picados em rodelas finas sal a gosto oleo ou azeite para refogar a cebola e a calabresa
doces-e-sobremesas,20MIN,5 porções,1 lata de leite condensado 1 copo de leite referencia copo de requeijao aprox 200 a 250 ml 1/2 pacote de coco ralado 2 e 1/2 colheres de sopa de maisena amido de milho 6 colheres de sopa de nescau ou chocolate em po 1 caixinha de creme de leite sem soro
bolos-e-tortas-doces,60MIN,16 porções,1 lata de leite condensado 2 latas de leite integral use a mesma lata como medida 3 gemas 2 colheres sopa de manteiga 1 colher sopa de amido de milho dissolvido em 1/2 xicara de leite 2 colheres sopa de essencia de baunilha 1 lata de creme de leite 400 g de chocolate meio-amargo ou blend 400 g de creme de leite 400 g de bolacha maizena 1 xicara de leite 2 colheres sopa de chocolate em po ou achocolatado 100 g de chocolate branco para decorar
carnes,90MIN,6 porções,1 peca de fraldinha de mais ou menos 800 g a 1 kg 3 colheres de sopa de mostarda 2 colheres de sopa de azeite ou oleo 1 colher de sopa de mel puro 3 dentes grandes de alho amassados suco de um limao 1 colher de sopa rasa de sal 1 colher de sopa rasa de ajinomoto 1 folha de loro amassadinha 1 pitada de pimenta - do - reino ou outra de sua preferencia
aves,45MIN,6 porções,1 peito de frango cozido e desfiado 1 copo de requeijao 1 lata de creme de leite sem soro 1 lata de milho verde 3 colheres de extrato de tomate 1 cebola ralada 3 colheres de margarina 1 cubo de caldo de galinha 1 pacote de batata palha com sal tempero a gosto
peixes-e-frutos-do-mar,30MIN,8 porções,500 g de file de peixe 1 xicara de cha de leite 1 colher de sopa de amido de milho 2 colheres de sopa de margarina sal pimenta do reino 2 dentes de alho oeo 2 colheres de sopa de queijo parmesao ralado algumas fatias de queijo muzzarela 1 tablete de caldo knor do sabor que preferir
massas,50MIN,1 porção,1/2 kg de farinha de trigo 200 g de margarina 150 g de gordura vegetal 2 gemas 1 xicara cafe de agua sal 1 gema para pincelar 2 peitos de frango ja cozidos e desfiados 1 cebola picada 2 dentes de alho amassados 1 tomate sem pele e sem semente em cubos salsa e cebolinha picadas 1 colher sopa de farinha de trigo dissolvida em um pouquinho de leite sal e pimenta a gosto requeijao culinario em lascas
doces-e-sobremesas,30MIN,10 porções,1 lata de leite condensado 1 pacote de coco ralado 1 colher de manteiga 1 lata de creme de leite 1 colher de manteiga 4 colheres de toddy ou nescau
bolos-e-tortas-doces,40MIN,8 porções,1/2 xicara cha de oleo 3 cenouras medias raladas 4 ovos 2 xicaras cha de acucar 2 e 1/2 xicaras cha de farinha de trigo 1 colher sopa de fermento em po 1 colher sopa de manteiga 3 colheres sopa de chocolate em po 1 xicara cha de acucar 1 xicara cha de leite
carnes,50MIN,15 porções,500 g de massa de lasanha 500 g de carne moida 2 caixas de creme de leite 3 colheres de manteiga 3 colheres de farinha de trigo 500 g de presunto 500 g de mussarela sal a gosto 2 copos de leite 1 cebola ralada 3 colheres de oleo 1 caixa de molho de tomate 3 dentes de alho amassados 1 pacote de queijo ralado
aves,40MIN,10 porções,10 files de frangos grandes alho tempero pronto cebolinha e suco de limao para temperar 5 fatias de mussarela 5 fatias de presunto 2 ovos batidos farinha de rosca palitos oleo para fritar
peixes-e-frutos-do-mar,60MIN,6 porções,1 kg de camarao fresco sal 3 dentes de alho picados e amassados suco de 1 limao pimenta-do-reino 1 kg de mandioca prefira as que ja vem embaladas e descascadas e mais pratico 3 cebolas 1 cortada em rodelas e 2 raladas 1 folha de louro 6 colheres sopa de azeite de oliva 2 vidros de leite de coco 1 maco de cheiro-verde picado 2 latas de molho pronto de tomate pomarola 2 pimentoes verdes bem picadinhos 2 colheres sopa de azeite de dende
massas,40MIN,6 porções,2 tomates 1 cebola 4 dentes de alho oregano a gosto sal a gosto azeite 1 pacote de pao de forma 200 g de presunto 200 g de queijo mussarela
doces-e-sobremesas,30MIN,10 porções,2 pacotes de bolo pronto de chocolate  tipo pulmann 1 copo de guarana 2 latas de leite condensado 100 g de coco ralado 2 colheres sopa de margarina 200 g de chocolate meio amargo 1 lata de creme de leite com soro coco ralado e raspas de chocolate para decorar
bolos-e-tortas-doces,40MIN,12 porções,medida copo de requeijao 1/2 copo de oleo 1 copo de leite 1 lata de milho verde com a agua 3 ovos 1 e 1/2 copo de acucar 1 copo de milharina 1 colher de fermento em po
carnes,90MIN,25 porções,600 g farinha de trigo de preferencia dona benta 10 g fermento biologico seco instantaneo fermix ou fleischmann 200 ml leite/agua pode ser usado so agua ou leite desnatado para uma receita light 100 ml oleo de canola ou girassol 3 colheres de sopa de acucar 1 colher de cha de sal 2 ovos 500 g de carne moida de preferencia patinho 1 tomate grande 1 limao grande 1 cebola pequena 1/2 pimentao vermelho pequeno 1/2 pimentao amarelo pequeno 1/2 pimentao verde pequeno sal a gosto
aves,10MIN,5 porções,1 xicara de farinha de trigo 1/2 xicara de agua tempero completo tipo sabor ami 1 pitada de pimenta do reino 5 files de frango 1 1/2 xicaras de farinha de rosca oleo para fritar
peixes-e-frutos-do-mar,30MIN,20 porções,1 xicara de sobra de peixe pescada robalo assado ou refogado 1 xicara de cenoura em cubinhos cozida 1/2 cebola picada 1 ovo 3 colheres sopa de queijo parmesao ralado 3 colheres sopa de farinha de trigo 1 colher cha de sal salsinha a gosto 1 colher cha de fermento em po
massas,25MIN,6 porções,250 g de massa curta penne fusili cozida al dente 250 g de mussarela ralada grossa 3 xicaras de linguica calabresinha cortada em rodelinhas finas 1 lata de molho de tomate 1 tomate em rodelas finas oregano 1 colher sopa de azeite de oliva 10 folhas de manjericao fresco
doces-e-sobremesas,60MIN,8 porções,2 pacotes de 200g de biscoito maisena passados no leite morno 12 bombons sonho de valsa 1 lata de leite condensado a mesma medida da lata de leite de vaca 1 ou 2 medidas 3 gemas 1 colher sopa de amido de milho 1/2 litro de leite 5 colheres sopa de chocolate em po 4 colheres sopa de acucar 2 colheres sopa de amido de milho 1 lata de creme de leite sem soro 3 claras em neve 6 colheres sopa de acucar
bolos-e-tortas-doces,50MIN,15 porções,1 copo de oleo 3 ovos 1 e 1/2 copo de acucar 2 copos de fuba 1 copo de trigo 1 copo de leite 1 colher de sopa de fermento em po 1 pitada de sal
carnes,90MIN,6 porções,1 kg de batatas 1 xicara de leite 1 colher de cafe rasa de sal 1 colher de sopa de manteiga 1 embalagem de carne seca 1 colher de sopa de oleo 2 colheres de sopa de manteiga 2 tomates picados 1 cebola picada azeitona a gosto pimenta de sua preferencia 200 g de catipiry ou requeijao cremoso 50 g de queijo parmesao ralado
aves,25MIN,8 porções,1 peito de frango cozido em 1/2 litro de agua com caldo de galinha e temperos a gosto 1 lata de creme de leite 1 lata de milho verde escorrido 1 copo de requeijao cremoso 1 lata de molho de tomate 100 g de mussarela pode ser ralada ou em fatias
peixes-e-frutos-do-mar,90MIN,6 porções,15 kg de bacalhau salgado 800 g de batatas descascadas e em fatias entre 05 e 1 cm 1 pimentao verde cortado em tiras 1 pimentao vermelho cortado em tiras 2 cebolas grandes fatiadas 2 dentes de alho picadinhos 2 tomates maduros sem pele e sem semente cortados em pedacos grandes salsa picada 100 g de azeitonas pretas sem caroco 1 pitada de pimenta-do-reino se gostar 3 ovos cozidos azeite para regar sal a gosto
massas,60MIN,6 porções,2 caldos de galinha 3 xicaras de leite 6 colheres sopa de maionese 2 colheres de salsinha picada sal a gosto 3 xicaras de farinha de trigo
doces-e-sobremesas,60MIN,10 porções,1 pacote de 500 g de canjica de milho 1 litro e 1/2 de leite 1 xicara de acucar 2 latas de leite condensado 1 lata de creme de leite 1 garrafinha de leite de coco 1 pacote de 50 gramas de coco ralado cravos canela em pau canela em po para polvilhar
bolos-e-tortas-doces,60MIN,12 porções,massa 2 xicaras de cha de cenoura crua picada 1 xicara de cha de acucar 1 xicara de cha de oleo 4 ovos 1/2 colher de cha de sal 2 xicaras de cha de farinha de trigo 1 colher de sopa cheia de fermento em po cobertura 3 colheres de sopa de nescau 1 e 1/2 tablete de claybom 12 colheres de sopa de acucar 10 colheres de sopa de leite
carnes,60MIN,4 porções,500 g de carne moida 2 colheres sopa de azeite de oliva 30 ml 1 xicara de cebola bem picada 60 g 1 ovo 150 g de farinha de rosca sal a gosto pimenta-do-reino a gosto 395 g de molho de tomate
aves,40MIN,4 porções,500 g de peito de frango file de peito limpos e sem pele 1 lata de creme de leite com soro 1 pacote sopa de cebola 1 copo de requeijao 1 lata de milho com agua batata palha para polvilhar
